breed,url,popularity,hypoallergenic,intelligence_rating,puppy_price,lifespan,characteristics
Boston Terrier,https://www.dogbreedslist.info//all-dog-breeds/boston-terrier.html,#21,No,54,Prices: $1000 - $2000,Lifespan: 12-15 years,"['Friendly', 'Lively', 'Playful', 'Affectionate']"
Bernese Mountain Dog,https://www.dogbreedslist.info//all-dog-breeds/bernese-mountain-dog.html,#22,No,22,Prices: $1500 - $3000,Lifespan: 7-10 years,"['Intelligent', 'Loyal', 'Faithful', 'Playful']"
Pomeranian,https://www.dogbreedslist.info//all-dog-breeds/pomeranian.html,#23,No,23,Prices: $1500 - $3000,Lifespan: 12-16 years,"['Intelligent', 'Sociable', 'Friendly', 'Companionable']"
Havanese,https://www.dogbreedslist.info//all-dog-breeds/havanese.html,#24,Yes,45,Prices: $1500 - $2500,Lifespan: 14-16 years,"['Responsive', 'Playful', 'Affectionate', 'Quiet']"
Cane Corso,https://www.dogbreedslist.info//all-dog-breeds/cane-corso-italiano.html,#25,No,-,Prices: $1500 - $2500,Lifespan: 10-11 years,"['Even Tempered', 'Calm', 'Reserved', 'Attentive']"
English Springer Spaniel,https://www.dogbreedslist.info//all-dog-breeds/english-springer-spaniel.html,#26,No,13,Prices: $800 - $1800,Lifespan: 10-14 years,"['Intelligent', 'Active', 'Cheerful', 'Playful']"
Shetland Sheepdog,https://www.dogbreedslist.info//all-dog-breeds/shetland-sheepdog.html,#27,No,6,Prices: $1000 - $2000,Lifespan: 12-14 years,"['Gentle', 'Intelligent', 'Lively', 'Happy']"
Brittany,https://www.dogbreedslist.info//all-dog-breeds/french-brittany.html,#28,No,19,Prices: $700 - $1100,Lifespan: 12-15 years,"['Intelligent', 'Agile', 'Quick', 'Playful']"
Pug,https://www.dogbreedslist.info//all-dog-breeds/pug.html,#29,No,57,Prices: $800 - $1500,Lifespan: 12-15 years,"['Stubborn', 'Attentive', 'Sociable', 'Outgoing']"
American Cocker Spaniel,https://www.dogbreedslist.info//all-dog-breeds/american-cocker-spaniel.html,#30,No,20,Prices: $1000 - $2000,Lifespan: 12-15 years,"['Sociable', 'Even Tempered', 'Trusting', 'Energetic']"
Miniature American Shepherd,https://www.dogbreedslist.info//all-dog-breeds/miniature-american-shepherd.html,#31,-,-,Prices: $800 - $1500,Lifespan: 13-15 years,"['Intelligent', 'Loyal', 'Intelligent', 'Energetic']"
Border Collie,https://www.dogbreedslist.info//all-dog-breeds/border-collie.html,#32,No,1,Prices: $800 - $1500,Lifespan: 12-15 years,"['Tenacious', 'Responsive', 'Dignified', 'Affectionate']"
Mastiff,https://www.dogbreedslist.info//all-dog-breeds/english-mastiff.html,#33,No,72,Prices: $1000 - $2000,Lifespan: 10-12 years,"['Good-natured', 'Courageous', 'Devoted', 'Quick']"
Chihuahua,https://www.dogbreedslist.info//all-dog-breeds/chihuahua.html,#34,No,67,Prices: $800 - $2500,Lifespan: 14-18 years,"['Courageous', 'Lively', 'Intelligent', 'Loyal']"
Vizsla,https://www.dogbreedslist.info//all-dog-breeds/vizsla.html,#35,No,25,Prices: $1000 - $1800,Lifespan: 10-14 years,"['Affectionate', 'Energetic', 'Gentle', 'Friendly']"
Basset Hound,https://www.dogbreedslist.info//all-dog-breeds/basset-hound.html,#36,No,71,Prices: $800 - $1500,Lifespan: 10-12 years,"['Devoted', 'Sweet-Tempered', 'Stubborn', 'Confident']"
Belgian Malinois,https://www.dogbreedslist.info//all-dog-breeds/belgian-shepherd-malinois.html,#37,No,22,Prices: $1000 - $1800,Lifespan: 12-14 years,"['Protective', 'Watchful', 'Playful', 'Gentle']"
Maltese,https://www.dogbreedslist.info//all-dog-breeds/maltese-dog.html,#38,Yes,59,Prices: $1500 - $2500,Lifespan: 15-18 years,"['Lively', 'Docile', 'Energetic', 'Stubborn']"
Weimaraner,https://www.dogbreedslist.info//all-dog-breeds/weimaraner.html,#39,No,21,Prices: $700 - $1500,Lifespan: 10-12 years,"['Fast', 'Intelligent', 'Gentle', 'Loyal']"
Collie,https://www.dogbreedslist.info//all-dog-breeds/rough-collie.html,#40,No,16,Prices: $1200 - $1800,Lifespan: 14-16 years,"['Intelligent', 'Protective', 'Gentle', 'Trainable']"
Newfoundland,https://www.dogbreedslist.info//all-dog-breeds/newfoundland.html,#41,No,34,Prices: $1700 - $2500,Lifespan: 9-12 years,"['Sweet-Tempered', 'Dignified', 'Sensitive', 'Mischievous']"
Rhodesian Ridgeback,https://www.dogbreedslist.info//all-dog-breeds/rhodesian-ridgeback.html,#42,No,52,Prices: $1000 - $2000,Lifespan: 10-12 years,"['Strong Willed', 'Charming', 'Confident', 'Fearless']"
Shiba Inu,https://www.dogbreedslist.info//all-dog-breeds/shiba-inu.html,#43,No,49,Prices: $1500 - $2500,Lifespan: 12-15 years,"['Keen', 'Hardy', 'Friendly', 'Independent']"
West Highland White Terrier,https://www.dogbreedslist.info//all-dog-breeds/west-highland-white-terrier.html,#44,Yes,47,Prices: $1500 - $3000,Lifespan: 12-16 years,"['Courageous', 'Playful', 'Gentle', 'Sensitive']"
Bichon Frise,https://www.dogbreedslist.info//all-dog-breeds/bichon-frise.html,#45,Yes,45,Prices: $1000 - $2000,Lifespan: 12-15 years,"['Cheerful', 'Stubborn', 'Affectionate', 'Gentle']"
Bloodhound,https://www.dogbreedslist.info//all-dog-breeds/bloodhound.html,#46,No,74,Prices: $700 - $1200,Lifespan: 10-12 years,"['Even Tempered', 'Playful', 'Faithful', 'Friendly']"
English Cocker Spaniel,https://www.dogbreedslist.info//all-dog-breeds/english-cocker-spaniel.html,#47,No,18,Prices: $1000 - $1800,Lifespan: 12-14 years,"['Quiet', 'Dignified', 'Friendly', 'Courageous']"
Akita,https://www.dogbreedslist.info//all-dog-breeds/american-akita.html,#48,No,54,Prices: $1000 - $2500,Lifespan: 10-14 years,"['Docile', 'Brave', 'Quarrelsome', 'Docile']"
Portuguese Water Dog,https://www.dogbreedslist.info//all-dog-breeds/portuguese-water-dog.html,#49,Yes,29,Prices: $2000 - $3000,Lifespan: 10-14 years,"['Impetuous', 'Happy', 'Affectionate', 'Intelligent']"
Chesapeake Bay Retriever,https://www.dogbreedslist.info//all-dog-breeds/chesapeake-bay-retriever.html,#50,No,27,Prices: $800 - $1500,Lifespan: 10-13 years,"['Quiet', 'Intelligent', 'Outgoing', 'Friendly']"
Dalmatian,https://www.dogbreedslist.info//all-dog-breeds/dalmatian.html,#51,No,39,Prices: $1000 - $1600,Lifespan: 12-14 years,"['Energetic', 'Friendly', 'Lively', 'Watchful']"
St. Bernard,https://www.dogbreedslist.info//all-dog-breeds/st-bernard.html,#52,No,65,Prices: $1000 - $2000,Lifespan: 8-10 years,"['Gentle', 'Friendly', 'Energetic', 'Happy']"
Papillon,https://www.dogbreedslist.info//all-dog-breeds/papillon-dog.html,#53,No,8,Prices: $1000 - $2000,Lifespan: 13-16 years,"['Intelligent', 'Intelligent', 'Loyal', 'Energetic']"
Australian Cattle Dog,https://www.dogbreedslist.info//all-dog-breeds/australian-cattle-dog.html,#54,No,10,Prices: $400 - $1000,Lifespan: 12-15 years,"['Protective', 'Courageous', 'Docile', 'Loyal']"
Bullmastiff,https://www.dogbreedslist.info//all-dog-breeds/bullmastiff.html,#55,No,69,Prices: $1500 - $2500,Lifespan: 8-10 years,"['Powerful', 'Lively', 'Sociable', 'Friendly']"
Samoyed,https://www.dogbreedslist.info//all-dog-breeds/samoyed.html,#56,Yes,33,Prices: $1500 - $3000,Lifespan: 12-14 years,"['Playful', 'Quick', 'Independent', 'Self-assured']"
Scottish Terrier,https://www.dogbreedslist.info//all-dog-breeds/scottish-terrier.html,#57,Yes,65,Prices: $1400 - $2000,Lifespan: 11-13 years,"['Playful', 'Spirited', 'Faithful', 'Energetic']"
Soft Coated Wheaten Terrier,https://www.dogbreedslist.info//all-dog-breeds/soft-coated-wheaten-terrier.html,#58,Yes,40,Prices: $1800 - $3000,Lifespan: 12-15 years,"['Intelligent', 'Gentle', 'Affectionate', 'Intelligent']"
Whippet,https://www.dogbreedslist.info//all-dog-breeds/whippet.html,#59,No,51,Prices: $2000 - $2500,Lifespan: 12-15 years,"['Lively', 'Willful', 'Intelligent', 'Affectionate']"
German Wirehaired Pointer,https://www.dogbreedslist.info//all-dog-breeds/german-wirehaired-pointer.html,#60,No,44,Prices: $800 - $1200,Lifespan: 12-14 years,"['Active', 'Independent', 'Reserved', 'Suspicious']"
Shar-Pei,https://www.dogbreedslist.info//all-dog-breeds/shar-pei.html,#61,No,51,Prices: $1000 - $1500,Lifespan: 9-11 years,"['Devoted', 'Intelligent', 'Outgoing', 'Courageous']"
Airedale Terrier,https://www.dogbreedslist.info//all-dog-breeds/airedale-terrier.html,#62,Yes,29,Prices: $800 - $1500,Lifespan: 10-13 years,"['Confident', 'Loyal', 'Trainable', 'Gentle']"
Wirehaired Pointing Griffon,https://www.dogbreedslist.info//all-dog-breeds/wirehaired-pointing-griffon.html,#63,Yes,46,Prices: $1000 - $2000,Lifespan: 12-14 years,"['Vigilant', 'Sweet-Tempered', 'Keen', 'Protective']"
Bull Terrier,https://www.dogbreedslist.info//all-dog-breeds/bull-terrier.html,#64,No,66,Prices: $1200 - $2000,Lifespan: 10-12 years,"['Trainable', 'Dignified', 'Playful', 'Friendly']"
Alaskan Malamute,https://www.dogbreedslist.info//all-dog-breeds/alaskan-malamute.html,#65,No,50,Prices: $1200 - $2000,Lifespan: 12-15 years,"['Devoted', 'Intelligent', 'Alert', 'Devoted']"
